chunk_size,question,faithfulness,answer_relevancy
300,RAG 시스템의 Retrieval 모듈에서 키워드 기반 검색과 임베딩 기반 검색의 차이점은?,1.0,0.8058380217436653
300,LLM의 할루시네이션을 완화하기 위해 프롬프트 제약 방식은 어떻게 작동하는가?,1.0,0.9751652207556627
300,공공서비스에 RAG 기술을 적용할 때 예상되는 장점과 문제점은?,1.0,0.0
300,RAG 시스템에서 임베딩 모델의 역할은 무엇인가?,1.0,0.0
300,RAG와 파인튜닝의 비용 비교 수치는?,1.0,0.0
500,RAG 시스템의 Retrieval 모듈에서 키워드 기반 검색과 임베딩 기반 검색의 차이점은?,1.0,0.857668148063717
500,LLM의 할루시네이션을 완화하기 위해 프롬프트 제약 방식은 어떻게 작동하는가?,1.0,0.975209475682855
500,공공서비스에 RAG 기술을 적용할 때 예상되는 장점과 문제점은?,1.0,0.9226005158829336
500,RAG 시스템에서 임베딩 모델의 역할은 무엇인가?,0.6666666666666666,0.0
500,RAG와 파인튜닝의 비용 비교 수치는?,1.0,0.0
700,RAG 시스템의 Retrieval 모듈에서 키워드 기반 검색과 임베딩 기반 검색의 차이점은?,1.0,0.0
700,LLM의 할루시네이션을 완화하기 위해 프롬프트 제약 방식은 어떻게 작동하는가?,1.0,0.8796707911384563
700,공공서비스에 RAG 기술을 적용할 때 예상되는 장점과 문제점은?,1.0,0.0
700,RAG 시스템에서 임베딩 모델의 역할은 무엇인가?,1.0,0.9957209712207894
700,RAG와 파인튜닝의 비용 비교 수치는?,1.0,0.0
